"TripText01","sentence","-5","-4","-3","-2","-1","1","2","3","4","5","sentiment"
"10","277838997160_10153405877362161","母親節  |  最  |  悠遊  |  來  |  喝杯  |  咖啡吧  |  即日起  |  至  |  5  |  31  |  止持  |  悠遊  |  卡消費  |  中大杯  |  咖啡  |  第二杯  |  7  |  折  |  喔  |  活動  |  品項  |  美式  |  咖啡  |  招牌  |  咖啡  |  海岩  |  咖啡  |  母親節  |  快樂  |  咖啡  |  享  |  優惠  |  更  |  多  |  產品  |  訊息  |  www  |  85  |  cafe  |  com","0","0","0","0","0","0","0","0","0","1","sentiment"
"11","277838997160_10153393639082161","預購  |  優惠  |  最後  |  一天  |  囉  |  母親節  |  主題  |  款  |  蛋糕  |  享  |  85  |  折  |  不  |  容錯過  |  全店  |  單筆  |  消費  |  滿  |  500  |  元  |  登錄  |  發票  |  可  |  參加  |  抽獎  |  活動  |  唷  |  活動  |  訊息  |  www  |  85  |  cafe  |  com","0","0","0","0","0","0","1","0","0","0","sentiment"
"12","277838997160_10153401750217161","你  |  知道  |  你  |  每天  |  喝到  |  的  |  85  |  度  |  C  |  咖啡  |  可是  |  有  |  獲得  |  Coffee  |  Review  |  評鑑  |  91  |  分  |  傑出  |  等級  |  的  |  咖啡  |  嗎  |  85  |  度  |  C  |  的  |  極品  |  嚴選  |  咖啡  |  就是  |  如此  |  這款  |  選自  |  瓜地馬拉  |  及  |  巴西  |  產區  |  經由  |  中深  |  烘焙  |  後  |  的  |  極品  |  嚴選  |  咖啡豆  |  沖泡  |  出來  |  的  |  咖啡  |  呈現出  |  多層次  |  的  |  溫和  |  香氣  |  入口  |  圓  |  潤滑  |  順  |  由  |  巧克力  |  香跟花  |  香味  |  引出  |  甜蜜  |  的  |  尾韻  |  高品質  |  又  |  好喝  |  的  |  咖啡  |  就  |  在  |  你  |  身邊  |  就  |  在  |  85  |  度  |  C  |  更  |  多  |  相關  |  訊息  |  http  |  goo  |  gl  |  W8QzNq","0","0","0","0","0","0","1","2","0","1","sentiment"
"13","277838997160_10153393691092161","蛋糕  |  心  |  推薦  |  甜蜜  |  寵愛  |  綿密  |  的  |  戚風  |  蛋糕  |  搭配  |  甜而不膩  |  的  |  草莓  |  奶餡  |  並佐以  |  醇香  |  的  |  酒漬  |  蔓  |  越莓  |  酸甜  |  口感  |  令人  |  心裡  |  充滿  |  了  |  無限  |  的  |  悸動  |  感  |  5  |  5  |  前享  |  85  |  折  |  優惠  |  趕快  |  把握  |  不要  |  錯過  |  囉","0","0","0","0","0","0","1","1","0","1","sentiment"
"14","277838997160_10153393680537161","蛋糕  |  心  |  推薦  |  牛奶糖  |  之  |  吻  |  初  |  嚐  |  綿密  |  慕斯  |  的  |  口感  |  猶如  |  溫暖  |  的  |  懷抱  |  一般  |  滑順  |  入口  |  微苦  |  微甘  |  的  |  焦糖  |  親碰著  |  舌尖  |  讓  |  人  |  一再  |  回味  |  無法自拔  |  5  |  5  |  前享  |  85  |  折  |  優惠  |  唷","0","0","0","0","1","1","0","0","0","0","sentiment"
"15","277838997160_10153392247242161","世界  |  上  |  最  |  好喝  |  的  |  咖啡  |  就是  |  你  |  每天  |  都  |  在  |  喝  |  但  |  你  |  卻  |  不  |  知道  |  在  |  85  |  度  |  C  |  您  |  總是  |  能  |  喝  |  到  |  好  |  品質  |  的  |  咖啡  |  卻  |  只  |  需要  |  物超所值  |  的  |  價格  |  因此  |  我們  |  嚴選  |  再  |  嚴選  |  挑出  |  16  |  款  |  精品  |  咖啡豆  |  要  |  介紹  |  給  |  您  |  透過  |  專業  |  咖啡  |  評鑑  |  師的  |  保證  |  讓  |  您  |  手上  |  這杯  |  看似  |  平價  |  卻  |  不  |  平凡  |  的  |  咖啡  |  更  |  有  |  價值  |  想  |  知道  |  哪裡  |  有  |  賣嗎  |  那  |  就  |  上  |  85  |  度  |  C  |  的  |  官網  |  看看  |  囉  |  更  |  多  |  相關  |  訊息  |  http  |  goo  |  gl  |  W8QzNq  |  嚇死  |  寶寶  |  了  |  原來  |  85  |  度  |  C  |  的  |  咖啡  |  品質  |  這麼  |  好  |  精品  |  專業  |  物超所值  |  不  |  平凡","0","0","0","0","0","0","0","5","0","0","sentiment"
"16","277838997160_10153390248887161","幸福  |  母親節  |  層層  |  堆疊  |  的  |  甜蜜  |  滋味  |  全台  |  多間  |  門市  |  訂購  |  取貨  |  好  |  方便  |  5  |  5  |  前  |  預定  |  享  |  85  |  折  |  優惠  |  消費  |  滿額  |  再  |  抽  |  名牌  |  家電  |  孝敬  |  甜食  |  控  |  媽咪  |  趁現在","0","0","0","0","0","0","2","1","0","1","sentiment"
"17","277838997160_10153388037212161","y  |  食材  |  大  |  升級  |  麵  |  包  |  口感  |  柔軟  |  更  |  好吃  |  超  |  貼心  |  的  |  去  |  到  |  門市  |  現場  |  購買  |  麵  |  包  |  時菜  |  卡  |  告示  |  有  |  明顯  |  的  |  使用  |  法國  |  T55  |  麵  |  粉  |  字樣  |  方便  |  大家  |  選購  |  今日  |  推薦  |  香片  |  花生  |  22  |  選用  |  花生醬  |  來  |  製作  |  麵  |  包  |  表面  |  灑上  |  杏仁  |  片  |  呈現出  |  香濃  |  的  |  花生  |  香味  |  更  |  多  |  使用  |  法國  |  T55  |  麵  |  粉  |  麵  |  包  |  介紹  |  www  |  85  |  cafe  |  com","0","0","0","0","0","0","1","1","0","0","sentiment"
"18","277838997160_10153359751112161","手持  |  悠遊  |  卡消費  |  有  |  優惠  |  持  |  悠遊  |  卡  |  付款  |  功能  |  消費  |  指定  |  中大杯  |  咖啡  |  第二杯  |  七折  |  喔  |  指定  |  飲品  |  海岩  |  咖啡  |  美式  |  咖啡  |  招牌  |  咖啡  |  產品  |  訊息  |  www  |  85  |  cafe  |  com","0","0","0","0","0","0","0","0","0","0","sentiment"
"19","277838997160_10153380411137161","今天  |  是  |  世界  |  地球日  |  大家  |  可以  |  運用  |  包裝盒  |  來  |  製作  |  實用  |  生活用品  |  減少  |  垃圾  |  量  |  喔  |  就讓  |  小  |  編用  |  最近  |  最夯  |  的  |  Hello  |  Kitty  |  杯  |  包裝盒  |  來  |  小小  |  示範  |  喇  |  一起  |  愛護  |  地球  |  節能  |  減碳  |  打  |  ㄍ  |  ㄟ  |  共賀  |  嘸  |  賀  |  世界  |  地球日  |  實用  |  小物  |  包裝盒  |  大  |  改裝  |  愛護  |  地球","0","0","0","0","0","0","0","2","0","0","sentiment"
"20","277838997160_10153359580782161","還沒想  |  好  |  母親節  |  為  |  媽媽  |  來點  |  什麼  |  貼心  |  驚喜  |  嗎  |  選擇  |  85  |  度  |  c  |  的  |  母親節  |  主題  |  蛋糕  |  是  |  你  |  最好  |  的  |  選擇  |  4  |  11  |  一  |  5  |  5  |  四  |  預購  |  母親節  |  主題  |  款  |  蛋糕  |  還可享  |  85  |  折  |  優惠  |  唷  |  好禮  |  再  |  加碼  |  全店  |  單筆  |  消費  |  滿  |  500  |  元  |  登錄  |  發票  |  可  |  參加  |  抽獎  |  活動  |  唷  |  活動  |  訊息  |  www  |  85  |  cafe  |  com","0","0","0","0","0","0","2","1","0","1","sentiment"
"21","277838997160_10153380156232161","又  |  到  |  了  |  HAPPY  |  FRIDAY  |  每到  |  周五  |  就是  |  要  |  喝  |  85  |  度  |  C  |  咖啡  |  呀  |  不然  |  要  |  喝啥  |  週五  |  咖啡  |  日  |  第二杯  |  半價  |  一杯  |  自己  |  喝  |  一杯  |  分享  |  給  |  同事  |  一起  |  一鼓作氣  |  把  |  手邊  |  的  |  工作  |  都  |  解決  |  掉吧  |  活動  |  訊息  |  www  |  85  |  cafe  |  com  |  天氣  |  熱要  |  喝  |  嘎  |  逼  |  喝  |  嘎  |  逼  |  就  |  喝  |  85  |  C  |  半價  |  優惠  |  好  |  過癮  |  客人  |  老闆  |  笑咪咪  |  熱  |  好熱  |  好  |  快樂  |  嘎  |  逼  |  咖啡  |  好喝  |  優惠","0","0","0","0","0","0","0","4","0","2","sentiment"
"22","277838997160_10153378587247161","NULL","0","0","0","0","0","0","0","0","0","0","sentiment"
"23","277838997160_10153359579937161","與  |  您  |  分享  |  的  |  時刻  |  皇家  |  黑  |  爵士  |  滿覆  |  的  |  巧克力  |  慕斯  |  搭配  |  歐力  |  歐  |  餅乾  |  屑  |  多層次  |  的  |  口感  |  在  |  口中  |  層疊  |  交錯  |  濃郁  |  又  |  經典  |  的  |  巧克力  |  蛋糕  |  活動  |  訊息  |  www  |  85  |  cafe  |  com","0","0","0","0","0","0","0","0","0","0","sentiment"
"24","277838997160_10153374914947161","霸王  |  杯  |  霸王  |  杯  |  霸王  |  杯  |  好  |  小編  |  聽到  |  粉絲  |  們  |  的  |  呼喊  |  了  |  就給  |  你們  |  一顆  |  檸檬  |  霸王  |  杯  |  吧  |  無敵  |  超大  |  杯  |  才  |  69  |  元  |  32  |  oz  |  喔  |  竟然  |  還  |  第二杯  |  半價  |  有沒有  |  這麼  |  划算  |  夏日  |  解渴  |  就  |  要來  |  這味  |  一顆  |  檸檬  |  霸王  |  杯  |  天氣  |  突然  |  又  |  變熱  |  一顆  |  檸檬  |  好  |  解渴  |  半價  |  優惠  |  五告賀  |  二杯  |  分享  |  都  |  快樂  |  更  |  多  |  優惠  |  訊息  |  www  |  85  |  cafe  |  com","0","0","0","0","0","0","0","2","0","2","sentiment"
